用例编号,所属产品,所属模块,用例标题,前置条件,步骤,预期,结果,由谁创建,创建日期,修改日期
11576,WordPress(#13),探索式测试-韦士杰(#363),（超模测试）检验网页放大缩小对页面的影响,"1.成功登录，进入仪表盘界面
2.wordpress在火狐浏览器登录","1. 对页面进行放大（快捷键：“Ctrl”+“+”）
2. 页面显示170%的时候查看页面的变化
3. 页面显示200%的时候查看页面的变化
4. 继续放大，查看放大的最大限度
5. 对页面进行缩小（快捷键：“Ctrl”+“-”）
6. 继续缩小，查看缩小的最大限度
","1. 
2. 
3. 
4. 
5. 
6. 
",通过,韦士杰,2018/12/16,0000-00-00
11567,WordPress(#13),/(#0),仪表盘界面概览部分的测试,正常进入wordpress的首页,"1. 分别点击1.文章2.页面3.评论
","1. 界面跳转到文章，页面，评论
",,韦士杰,2018/12/16,0000-00-00
11566,WordPress(#13),/(#0),仪表盘界面显示选项的测试,正常进入wordpress的首页,"1. 1点击仪表盘界面最上方的显示选项2..分别勾选和取消勾选概览活动快速草稿 WordPress活动及新闻Welcome New Editor
","1. 对应的部分将显示跟隐藏
",,韦士杰,2018/12/16,0000-00-00
11565,WordPress(#13),/(#0),仪表盘界面中welcom部分的更多操作测试,正常进入wordpress的首页并且可以显示欢迎使用WordPress！部分,"1. 点击管理边栏小工具2.点击菜单
2. 点击打开/关闭评论功能
3. 了解更多新手上路知识
","1. 
2. 
3. 分别跳转到1.外观中的小工具2.外观中的菜单3.settings中的讨论4.wordpress.org界面
",,韦士杰,2018/12/16,0000-00-00
11564,WordPress(#13),/(#0),仪表盘界面中welcom部分的测试,正常登录进入wordpress的首页,"1. 点击自定义的您的站点或者点击更换主题2.点击撰写你的第一篇博文3.点击添加关于页面
","1. 跳转到自定义站点界面，更换站点的主题以及一系列的设置2.跳转到文章的写文章界面3.跳转到页面的新建页面
",,韦士杰,2018/12/16,0000-00-00
11563,WordPress(#13),/(#0),忘记密码界面的测试,正常打开登录界面，点击忘记密码可以跳转,"1. 输入未注册过的用户名或电子邮箱地址2.输入注册过的用户名或电子邮箱地址3.不输入4.点击或者新密码
","1. 无效的用户名或无效的电子邮箱地址2.请输入用户名或电子邮件地址3.输入正确的可以跳转到获取新密码
",,韦士杰,2018/12/16,0000-00-00
11562,WordPress(#13),/(#0),登录界面，记住我的登录信息单选框的测试,正常打开登录界面,"1. 点击记住我的信息按钮
2. 输入已经注册过的用户名或电子邮件
3. 输入密码4.点击登录
","1. 
2. 
3. 登录成功
再次登录时保存用户名或电子邮件地址和密码
",,韦士杰,2018/12/16,0000-00-00
11561,WordPress(#13),/(#0),登录界面，用户名和或电子邮件的测试,正常打开登录界面,"1. 输入未注册过的用户名   2.输入未注册过的电子邮箱   3.输入任意密码       4.点击登录
","1. 登录失败 1. 无效的用户名
",,韦士杰,2018/12/16,0000-00-00
11560,WordPress(#13),/(#0),登录界面，用户名和电子邮件跟密码的匹配的测试,正常打开登录界面,"1. 输入用户名或者电子邮件
2. 输入与之匹配的密码
3. 输入与用户名不匹配的密码4.不输入
","1. 登录成功
2. 登录失败，为用户名admin指定的密码不正确3.请输入4.无反应
3. 
",,韦士杰,2018/12/16,0000-00-00
11559,WordPress(#13),探索式测试-韦士杰(#363),（通宵测试）验证反复将文章移至回收站并撤回会不会导致崩溃,1.成功登录，进入仪表盘界面,"1. 点击左侧菜单栏“文章”下拉框的“所有文章”按键，进入文章界面
2. 鼠标移至第一个文章，点击“移至回收站”按键
3. 点击撤销
4. 反复移至回收站然后撤回50次
","1. 
2. 
3. 
4. 
",通过,韦士杰,2018/12/16,2018/12/16
11558,WordPress(#13),探索式测试-韦士杰(#363),（遍历测试）对菜单栏进行遍历,1.成功登录，进入仪表盘界面,"1. 点击左侧菜单栏“文章”按键
1.1. 点击“所有文章”
1.2. 点击“写文章”
1.3. 点击“分类目录”
1.4. 点击“标签”
2. 点击左侧菜单栏“媒体”按键
2.1. 点击“媒体库”
2.2. 点击“添加”
3. 点击左侧菜单栏“页面”按键
3.1. 点击“所有页面”
3.2. 点击“新建页面”
4. 点击左侧菜单栏“评论”按键
5. 点击左侧菜单栏“外观”按键
5.1. 点击“主题”
5.2. 点击“自定义”
5.3. 点击“小工具”
5.4. 点击“菜单”
5.5. 点击“顶部”
5.6. 点击“背景”
5.7. 点击“安装插件”
5.8. 点击“编辑”
6. 点击左侧菜单栏“插件”按键
6.1. 点击“已安装的插件”
6.2. 点击“安装插件”
6.3. 点击“编辑”
7. 点击左侧菜单栏“用户”按键
7.1. 点击“所有用户”
7.2. 点击“添加用户”
7.3. 点击“我的个人资料”
8. 点击左侧菜单栏“工具”按键
8.1. 点击“可用工具”
8.2. 点击“导入”
8.3. 点击“导出”
8.4. 点击“导出个人数据”
8.5. 点击“抹除个人数据”
9. 点击左侧菜单栏“设置”按键
9.1. 点击“常规”
9.2. 点击“撰写”
9.3. 点击“阅读”
9.4. 点击“讨论”
9.5. 点击“媒体”
9.6. 点击“固定链接”
9.7. 点击“隐私”
9.8. 点击“Akismet Anti-Spam”
10. 点击左侧菜单栏“Gutenberg”按键
10.1. 点击“演示”
10.2. 点击“Support”
10.3. 点击“反馈”
10.4. 点击“文档”
11. 点击左侧菜单栏“收起菜单”按键
","1. 
1.1. 
1.2. 
1.3. 
1.4. 
2. 
2.1. 
2.2. 
3. 
3.1. 
3.2. 
4. 
5. 
5.1. 
5.2. 
5.3. 
5.4. 
5.5. 
5.6. 
5.7. 
5.8. 
6. 
6.1. 
6.2. 
6.3. 
7. 
7.1. 
7.2. 
7.3. 
8. 
8.1. 
8.2. 
8.3. 
8.4. 
8.5. 
9. 
9.1. 
9.2. 
9.3. 
9.4. 
9.5. 
9.6. 
9.7. 
9.8. 
10. 
10.1. 
10.2. 
10.3. 
10.4. 
11. 
",通过,韦士杰,2018/12/16,0000-00-00
11557,WordPress(#13),探索式测试-韦士杰(#363),（极限测试）验证多次切换主题是否会出错,1.已经成功登录，进入仪表盘界面,"1. 点击左侧菜单栏“外观”下拉框中的“主题”按键
2. 接连切换启用第一个和第二个主题，重复50遍
","1. 
2. 
",失败,韦士杰,2018/12/16,2018/12/16
11556,WordPress(#13),探索式测试-韦士杰(#363),（极限测试）检验上传新媒体文件的上传限制,1.成功登录，进入仪表盘界面,"1. 点击左侧菜单“媒体”下拉框中的“添加”按键，进入“上传新媒体文件”界面，点击“选择文件”，选择一个小于32MB的媒体文件进行上传
2. 选择一个等于32MB的媒体文件进行上传
3. 选择一个大于32MB的媒体文件进行上传
4. 选择一个远远大于32MB的媒体文件进行上传
","1. 
2. 
3. 
4. 
",通过,韦士杰,2018/12/16,2018/12/16
11555,WordPress(#13),探索式测试-韦士杰(#363),（地标测试）验证“编辑文章”界面中的“常见区块”的正常使用,1.成功登录，进入仪表盘界面,"1. 点击左侧菜单“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
2. 鼠标移至文章内容编辑区域
3. 点击文章内容编辑区域的圆形加号按键
4. 点击“常见区块”下拉框
5. 点击段落
6. 点击图像
7. 点击标题
8. 点击画廊
9. 点击列表
10. 点击引语
11. 点击音频
12. 点击Cover
13. 点击File
14. 点击视频
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14. 
",通过,韦士杰,2018/12/16,2018/12/16
11554,WordPress(#13),探索式测试-韦士杰(#363),（指南测试）验证删除用户的功能,1.成功登录，进入仪表盘界面,"1. 点击左侧菜单栏“用户”下拉框中的“所有用户”按键，进入“用户”界面
2. 鼠标移动到第一个用户上，点击“删除”
3. 点击“确认删除”按键
4. 点击“批量操作”倒三角，点击“删除”
5. 选择名下有文章的用户，在用户名前打√
6. 点击“应用”
7. 点击“删除这些内容”按键，点击“确认删除”按键
8. 点击“批量操作”倒三角，点击“删除”
9. 选择正在登录的管理员角色（自己），在用户名前打√
10. 点击“应用”
","1. 
2. 返回“确认删除”界面
3. 返回“用户已删除。”
4. 
5. 
6. 返回“确认删除”界面：如何处理该用户名下的内容？   删除这些内容/将这些内容的作者修改为？
7. 返回“用户已删除。”
8. 
9. 
10. 当前用户不会被删除
",通过,韦士杰,2018/12/16,0000-00-00
11553,WordPress(#13),探索式测试-韦士杰(#363),（破坏测试）验证在断网环境下是否能上传文章/媒体文件,"1.成功登录，进入仪表盘界面
2.断网","1. 点击左侧菜单“文章”下拉框中的“写文章”按键，进入“编辑文章”界面，编辑标题为sss，编辑文章内容为aaa，点击上传
2. 点击左侧菜单“媒体”下拉框中的“添加”按键，进入“上传新媒体文件”界面，点击“选择文件”，选择一个小于32MB的媒体文件进行上传
","1. 
2. 
",通过,韦士杰,2018/12/16,0000-00-00
11552,WordPress(#13),探索式测试-刘江(#365),（超模测试法）查看文章和评论,进入站点，有文章且文章有评论,"1. 随机点击一篇文章，查看该文章的页面布局，看是否美观和对称
2. 随机点击一条评论，查看它的字体风格，是否清晰
","1. 
2. 
",通过,刘江,2018/12/16,2018/12/16
11551,WordPress(#13),探索式测试-韦士杰(#363),（取消测试）验证上传/下载/启用过程中的取消,1.成功登录，进入仪表盘界面,"1. 点击左侧菜单栏“媒体”下拉框中的“添加”按键，进入“上传新媒体文件”界面，点击“选择文件”，选择一个小于32MB的媒体文件进行上传，上传过程中点击左侧“设置”按键，过一会再次打开媒体库，查看文件是否上传
2. 点击左侧菜单栏“外观”下拉框中的“主题”按键，点击添加新主题，选择一个新主题点击安装，下载过程中点击左侧“设置”按键，查看新主题的是否会被打断
","1. 
2. 出现弹窗（此页面想询问您是否要离开 - 您输入的数据可能不会被保存。 离开页面/留在页面）
",通过,韦士杰,2018/12/16,0000-00-00
11550,WordPress(#13),探索式测试-刘江(#365),（通宵测试法）测试文章和页面的编辑功能,登录成功，存在文章和页面,"1. 随机选择一个页面，点击编辑，修改标题和内容，点击更新，重复该操作
2. 随机选择一篇文章，点击编辑，修改标题和内容，点击更新，重复该操作
","1. 
2. 
",通过,刘江,2018/12/16,2018/12/21
11549,WordPress(#13),探索式测试-刘江(#365),（遍历测试法）测试站点的超链接,进入站点，站点有文章且文章有评论,"1. 逐个点击近期文章下所有的文章标题
2. 逐个点击近期评论下的所有评论
3. 逐个点击文章归档下的所有日期
4. 逐个点击分类目录下的各个目录
5. 逐个点击功能下的所有功能
","1. 
2. 
3. 
4. 
5. 
",通过,刘江,2018/12/16,0000-00-00
11548,WordPress(#13),探索式测试-韦士杰(#363),（破坏测试）验证刷新网页是否会对正在编辑的文章产生影响,1.成功登录，进入仪表盘界面,"1. 点击左侧菜单栏“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
2. 编辑标题为aaa，编辑文章内容为sss
3. 按F5按键进行刷新页面操作
4. 点击“离开页面”按键
","1. 
2. 
3. 出现弹窗（此页面想询问您是否要离开 - 您输入的数据可能不会被保存。   离开页面/留在页面）
4. 
",通过,韦士杰,2018/12/16,0000-00-00
11547,WordPress(#13),探索式测试-韦士杰(#363),（破坏测试）验证在电量不够、低电量模式下的环境下是否对模块正常操作,"1.电量不够、低电量模式下的环境
2.成功登录，进入仪表盘界面","1. 点击左侧菜单栏“文章”下拉框的“所有文章”按键，进入文章界面，鼠标移至第一个文章，点击“移至回收站”按键，再点击撤销
2. 点击左侧菜单栏“文章”下拉框的“写文章”按键，进入编辑文章界面，编辑标题为sss，编辑内容为aaa，点击发布
3. 点击左侧菜单栏“媒体”下拉框的“媒体库”按键，鼠标移至第一个媒体文件，点击永久删除，再点击确定
4. 点击左侧菜单栏“媒体”下拉框的“添加”按键，进入上传新媒体文件界面，点击选择文件，选择一个小于32MB的图片，点击打开
5. 点击左侧菜单栏“外观”下拉框的“主题”按键，进入主题页面，鼠标移至第二个主题，点击启用
6. 点击左侧菜单栏“插件”下拉框的“已安装的插件”按键，停用第一个插件
7. 点击左侧菜单栏“收起菜单”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
",通过,韦士杰,2018/12/16,0000-00-00
11546,WordPress(#13),探索式测试-刘江(#365),（深巷测试法）测试常规设置中的选项,登录成功，进入设置模块,"1. 点击站点语言的下拉框，随机选择一个语言
2. 点击时区的下拉框，随机选择一个地区
3. 随机勾选一个日期格式的单选框
4. 随机勾选一个时间格式的单选框
","1. 
2. 
3. 
4. 
",通过,刘江,2018/12/16,0000-00-00
11545,WordPress(#13),探索式测试-刘江(#365),（破坏测试法）测试在对一些模块进行操作时重启电脑,成功登录，插件模块有未启用的插件,"1. 进入文章发布页面，输入标题内容，重启电脑，然后重新打开该页面
2. 进入页面新建页面，输入标题内容，重启电脑，然后重新打开该页面
3. 进入插件模块，随机选中一个插件，点击启用，重启电脑，然后重新打开该页面
","1. 
2. 
3. 
",通过,刘江,2018/12/16,0000-00-00
11544,WordPress(#13),探索式测试-韦士杰(#363),（破坏测试）验证在断网环境下是否能登录,"1.断网
2.进入用户登录界面","1. 1.输入正确的已注册过的用户名和密码
2.点击登录
","1. 
",,韦士杰,2018/12/16,0000-00-00
11543,WordPress(#13),探索式测试-刘江(#365),（通宵测试法）测试上传媒体文件功能,电脑内有各种媒体文件,"1. 点击浏览，选择一个图片文件，点击上传，重复该操作40次
2. 点击浏览，选择一个音频文件，点击上传，重复该操作40次
3. 点击浏览，选择一个视频文件，点击上传，重复该操作40次
","1. 
2. 
3. 
",失败,刘江,2018/12/16,2018/12/16
11542,WordPress(#13),探索式测试-韦士杰(#363),（卖点测试）验证添加用户功能,"1.成功登录，进入仪表盘界面
2.点击左侧菜单栏“用户”下拉栏中的“添加用户”按键，进入“添加用户”界面","1. 1.输入用户名为wsj，电子邮箱为空
2.点击“添加用户”按键
2. 1.输入用户名为空，电子邮箱为wsj@163.com
2.点击“添加用户”按键
3. 1.输入用户名为wsj，电子邮箱为wsj@163.com
2.点击“添加用户”按键
","1. 电子邮箱栏报错
2. 用户名栏报错
3. 新建新用户成功
",通过,韦士杰,2018/12/16,0000-00-00
11541,WordPress(#13),探索式测试-刘江(#365),（指南测试法）测试找回密码功能,进入登录界面,"1. 点击忘记密码
2. 输入用户名或者用户名绑定的邮箱
3. 点击获取新密码
","1. 
2. 
3. 
",通过,刘江,2018/12/16,0000-00-00
11540,WordPress(#13),探索式测试-刘江(#365),（卖点测试法）文章的发布和保存,登录成功，点击进入撰写新文章界面，媒体库中有文件,"1. 输入标题，输入内容
2. 点击媒体库选择一个文件插入至文章
3. 编辑状态、公开度和时间
4. 选择时间和分类目录
5. 点击发布或保存草稿
","1. 
2. 
3. 
4. 
5. 
",通过,刘江,2018/12/16,0000-00-00
11539,WordPress(#13),探索式测试-沈梦琪(#361),（快递测试法）文章评论数量的显示,,"1. 在一篇文章下添加一个评论
2. 选择所有文章菜单栏下所有文章页面
","1. 
2. 添加评论的文章的评论列下的评论数量增加了1
",通过,沈梦琪,2018/12/16,0000-00-00
11538,WordPress(#13),探索式测试-沈梦琪(#361),（破坏测试法）文件夹不存在时是否创建文件夹,,"1. 在媒体库菜单添加媒体子选项中添加一个无法上传的文件
2. 在上传前删除存放上传失败文件的文件夹
","1. 
2. 系统自动创建新的文件夹
",通过,沈梦琪,2018/12/16,0000-00-00
11537,WordPress(#13),探索式测试-沈梦琪(#361),（取消测试法）安装主题过程中刷新页面,,"1. 选择外观中的主题子选项
2. 单击添加按钮
3. 选择一个未安装的主题，单击安装
4. 未安装成功前关闭页面，确认关闭
","1. 
2. 
3. 
4. 再次打开页面进入到添加主题页面，刚刚安装的主题未安装
",通过,沈梦琪,2018/12/16,0000-00-00
11536,WordPress(#13),探索式测试-沈梦琪(#361),（测一送一法）验证同时打开多个网页设置是否冲突,,"1. 不同网页创建同名名单
1.1. 在某一页面创建一篇菜单，未保存
1.2. 在另外一个网页中打开页面新建一个同名菜单，未保存
1.3. 分别在各自页面先后单击发布菜单按钮（刷新前单击）
2. 不同网页使用已删除菜单
2.1. 在某一网页删除一个菜单
2.2. 在另一网页使用刚刚删除的菜单
","1. 
1.1. 
1.2. 
1.3. 提示：菜单名称冲突
2. 
2.1. 
2.2. 提示：该菜单已删除
",阻塞,沈梦琪,2018/12/16,0000-00-00
11535,WordPress(#13),探索式测试-沈梦琪(#361),（极限测试法）验证上传文件大小控制功能,,"1. 使用新的上传工具上传一个大于32M的文件
1.1. 选择媒体菜单栏下的添加子选项
1.2. 单击选择文件，选择本地一个大于32M的文件
2. 选择“标准浏览器上传工具”上传一个大于32M的文件
2.1. 选择媒体菜单栏下的添加子选项
2.2. 单击“标准浏览器上传工具”
2.3. 单击选择文件，选择本地一大于32M的文件，点击上传按钮
","1. 
1.1. 
1.2. 提示：文件超过了站点的最大上传限制 
2. 
2.1. 
2.2. 
2.3. 上传失败
",通过,沈梦琪,2018/12/16,2018/12/24
11534,WordPress(#13),探索式测试-沈梦琪(#361),（超模测试法）验证按键以及文字是否正常显示,,"1. 保存修改按钮
1.1. 选择媒体库中的图片选择编辑图像，不对图像进行任何操作
2. 向左向右按键
2.1. 媒体库中有多张图片，选择一张媒体库中的图片
","1. 
1.1. 保存按钮为灰色，不可用
2. 
2.1. 若选择的是第一张图片，向左的按键标灰，不可用，向右的按键显示可用；若选择的是最后一张图片，则显示的按键显示相反；若前两者都不是，则两个方向的按键都显示可用
",通过,沈梦琪,2018/12/16,0000-00-00
11533,WordPress(#13),探索式测试-沈梦琪(#361),（出租车测试法）验证写文章功能,管理员或作者身份登录,"1. 通过所有文章页面编写文章
1.1. 选择文章菜单栏下的所有文章子选项
1.2. 单击文章右侧的写文章按钮
2. 选择文章菜单栏下的写文章子选项
3. 键盘事件实现写文章
3.1. 利用tab键是光标移动至文章菜单栏下的写文章子选项
3.2. 单击enter键
","1. 
1.1. 页面跳转至所有文章页面
1.2. 页面跳转至编写文章页面
2. 页面跳转至编写文章页面
3. 
3.1. 
3.2. 页面跳转至编写文章页面
",通过,沈梦琪,2018/12/16,0000-00-00
11532,WordPress(#13),探索式测试-沈梦琪(#361),（出租车测试法）验证更改顶部图像的功能,管理员身份登录,"1. 选择外观页面下的顶部子菜单
2. 通过自定义更改顶部图像
2.1. 选择外观页面下的自定义子菜单
2.2. 选择顶部图像菜单
","1. 页面右侧出现顶部图像预览
2. 
2.1. 页面跳转至自定义菜单
2.2. 页面右侧出现顶部图像预览
",通过,沈梦琪,2018/12/16,0000-00-00
11531,WordPress(#13),探索式测试-沈梦琪(#361),（卖点测试法）验证文章的发布功能,用户作者或管理员身份登录，页面位于文章菜单栏下的写文章子选项,"1. 撰写文章时不输入文章标题
1.1. 在“在此输入标题”的文本框中不输入文章标题，在正文处输入正文内容（如：探索性测试，测试方法1），单击发布按钮
2. 撰写文章时输入特殊标题
2.1. 在“在此输入标题”的文本框中输入空格作为文章标题，在正文处输入正文内容（如：探索性测试，测试方法2），单击发布按钮
3. 撰写文章时输入已存在标题
3.1. 在“在此输入标题”的文本框中输入一个已存在的文章标题，在正文出输入正文内容（如：探索性测试，测试方法3），单击发布按钮
3.2. 选择文章下的所有文章
4. 撰写文章时标题与内容均为空
4.1. 标题与正文部分均不输入任何字符，单击发布按钮
","1. 
1.1. 文章发布成功，发布了一篇没有标题的文章
2. 
2.1. 文章发布成功，发布了一篇没有标题的文章
3. 
3.1. 
3.2. 所有文章中存在两篇标题相同的文章
4. 
4.1. 提示：请输入文章内容
",失败,沈梦琪,2018/12/16,2018/12/24
11530,WordPress(#13),探索式测试-史素佳(#359),（通宵测试法）频繁点击菜单栏中的不同菜单,,"1. 交替点击菜单栏中相邻的媒体菜单和页面菜单
","1. 媒体和页面菜单的背景颜色交替切换
",失败,史素佳,2018/12/15,2018/12/25
11529,WordPress(#13),探索式测试-史素佳(#359),（超模测试法）验证放大缩小页面是否会影响页面效果,已登录,"1. 将页面缩小为33%
2. 将页面放大至500%
","1. 页面等比例缩放
2. 上下滚动条变长
",失败,史素佳,2018/12/15,2018/12/25
11528,WordPress(#13),探索式测试-史素佳(#359),（测一送一法）验证多次打开关闭WordPress网页,,"1. 浏览器打开一个新的页面，访问http://localhost:8032/wordpress/wp-login.php
2. 输入用户名密码，点击登录
3. 关闭该网页
4. 浏览器打开一个新的页面，访问http://localhost:8032/wordpress/wp-login.php
5. 频繁操作第3 4步
","1. 
2. 页面跳转到Wordpress仪表盘界面
3. 
4. 
5. 显示登录页，用户需要重新登录

",失败,史素佳,2018/12/15,2018/12/25
11527,WordPress(#13),探索式测试-史素佳(#359),（卖点测试法）验证添加用户功能,,"1. 点击用户
2. 点击添加用户
3. 输入用户名和电子邮箱（如果我不输入用户名和电子邮箱会怎样呢）
4. 用户名和电子邮箱都为空，点击添加用户
5. 输入用户名，电子邮箱为空，点击添加用户
6. 输入电子邮件，用户名为空，点击添加用户
7. 输入用户名和不符合规范的邮箱，点击添加用户
8. 输入不符合规范的用户名，点击添加用户
9. 输入已存在的用户名和电子邮箱，点击添加用户
10. 输入已存在的电子邮箱
11. 输入符合规范的用户名和电子邮箱
12. 点击生成密码
13. 修改密码为纯数字
14. 不点击确认使用弱密码前的复选框，点击添加用户
15. 点击确认使用弱密码前的复选框，点击添加用户
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14. 
15. 
",通过,史素佳,2018/12/15,2018/12/15
11509,WordPress(#13),探索式测试-史素佳(#359),（破坏测试法）验证发布文章时按下关机键是否会影响该功能,,"1. 点击文章
2. 点击写文章
3. 编辑文章点击发布
4. 点击发布之后立刻按下关机键
","1. 
2. 
3. 
4. 文章不能发布
",失败,史素佳,2018/12/15,2018/12/25
11508,WordPress(#13),探索式测试-史素佳(#359),（快递测试法）验证添加用户后对应角色的数量是否会变化,已登录，用户具有添加用户权限,"1. 点击菜单栏中的用户菜单
2. 点击添加用户
3. 添加一个角色为编辑的用户，点击添加用户
4. 将该用户角色更改为作者
5. 将该用户删除
","1. 
2. 
3. 上方菜单中用户和编辑的数量都增加1
4. 上方菜单中编辑的数量减1.作者的数量加1
5. 上方菜单中用户和作者的数量都减少1
",通过,史素佳,2018/12/15,0000-00-00
11507,WordPress(#13),探索式测试-史素佳(#359),（通宵测试法）频繁点击登出按钮,已登录,"1. 鼠标滑过右侧个人信息
2. 点击一次登出
3. 输入正确的用户名密码点击登录
4. 鼠标滑过右侧个人信息
5. 频繁地点击登出
6. 点击浏览器的后退页面按钮
7. 点击菜单栏中的用户
","1. 显示包括编辑我的个人资料，登出等子菜单
2. 用户登出，显示提示信息：您已登出
3. 
4. 
5. 页面奔溃，出现问题（如附件中图片）
6. 显示用户正常登录的页面
7. 跳转到用户登录页面
",失败,史素佳,2018/12/15,2018/12/15
11506,WordPress(#13),探索式测试-史素佳(#359),（极限测试法）验证媒体库中上传文件远大于上限时，功能是否正常,,"1. 点击媒体
2. 点击添加
3. 点击上传文件
4. 选择一个大小为2GB的视频文件
","1. 
2. 
3. 
4. （文件名）超过了站点的最大上传限制。
",通过,史素佳,2018/12/15,0000-00-00
11505,WordPress(#13),探索式测试-史素佳(#359),（超模测试法）首页UI测试,,"1. 鼠标滑过上方的菜单栏中W的图标
2. 鼠标滑过查看站点图标（房子）和新建图标（加号）以及W图标，鼠标移走时图标颜色会变为其他颜色闪一下然后变为原来的颜色，其余图标不会
","1. 显示的下拉菜单中底色与其他不一样（如附件中图片显示）
2. 
",通过,史素佳,2018/12/15,0000-00-00
11504,WordPress(#13),探索式测试-史素佳(#359),（取消测试法）验证在跳转过程中取消后能够正常跳转,,"1. 单击菜单栏中的用户
2. 点击上方菜单中的管理员
3. 执行完第2步，立即点击键盘Esc键
4. 将鼠标光标悬停在“用户”行上
5. 点击删除
6. 点击确认删除
7. 执行完上一步，立即点击键盘Esc键
","1. 
2. 页面刷新，只显示角色为管理员的用户
3. 页面不刷新，不能只显示角色为管理员的用户
4. 显示该“用户”行中“用户名”列下的“编辑”或“删除”选项
5. 
6. 
7. 用户不会被删除
",通过,史素佳,2018/12/15,0000-00-00
11475,WordPress(#13),探索式测试-杨天莹(#362),（超模测试法）对主页面缩小时的测试,进入站点主页面,"1. 将页面最大化
2. 将页面上下，左右缩小
","1. 
2. 发现顶部链接被放大
",通过,杨天莹,2018/12/14,0000-00-00
